Date : 2023-05-08 17:40:38
Directory : c:\Users\laabe\Documents\Code\windows_explorer
Total : 63 files,  2184 codes, 287 comments, 344 blanks, all 2815 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\utility\app_settings_utility.dart                         | Dart       |         33 |          0 |          3 |         36 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\utility\color_schemes.g.dart                              | Dart       |         67 |          0 |          3 |         70 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\directory_view.dart                               | Dart       |         79 |          1 |          8 |         88 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\side_rail.dart                                    | Dart       |         76 |          0 |          5 |         81 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\tab_view.dart                                     | Dart       |         29 |          0 |          3 |         32 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\tab_widget.dart                                   | Dart       |         55 |          1 |          4 |         60 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\thememode_selector.dart                           | Dart       |         60 |          1 |          4 |         65 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\title_bar.dart                                    | Dart       |         40 |          0 |          4 |         44 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\title_bar_windows_actions.dart                    | Dart       |         35 |          0 |          4 |         39 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\top_action_row.dart                               | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\laabe\Documents\Code\windows_explorer\lib\widgets\windows_action.dart                               | Dart       |         28 |          0 |          3 |         31 |
| c:\Users\laabe\Documents\Code\windows_explorer\linux\flutter\generated_plugin_registrant.cc                  | C++        |         15 |          4 |          5 |         24 |
| c:\Users\laabe\Documents\Code\windows_explorer\linux\flutter\generated_plugin_registrant.h                   | C++        |          5 |          5 |          6 |         16 |
| c:\Users\laabe\Documents\Code\windows_explorer\linux\main.cc                                                 | C++        |          5 |          0 |          2 |          7 |
| c:\Users\laabe\Documents\Code\windows_explorer\linux\my_application.cc                                       | C++        |         74 |         11 |         20 |        105 |
| c:\Users\laabe\Documents\Code\windows_explorer\linux\my_application.h                                        | C++        |          7 |          7 |          5 |         19 |
| c:\Users\laabe\Documents\Code\windows_explorer\macos\Flutter\GeneratedPluginRegistrant.swift                 | Swift      |         12 |          3 |          4 |         19 |
| c:\Users\laabe\Documents\Code\windows_explorer\macos\Runner\AppDelegate.swift                                | Swift      |          8 |          0 |          2 |         10 |
| c:\Users\laabe\Documents\Code\windows_explorer\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json | JSON       |         68 |          0 |          1 |         69 |
| c:\Users\laabe\Documents\Code\windows_explorer\macos\Runner\Base.lproj\MainMenu.xib                          | XML        |        343 |          0 |          1 |        344 |
| c:\Users\laabe\Documents\Code\windows_explorer\macos\Runner\MainFlutterWindow.swift                          | Swift      |         12 |          0 |          4 |         16 |
| c:\Users\laabe\Documents\Code\windows_explorer\pubspec.yaml                                                  | YAML       |         24 |         60 |         15 |         99 |
| c:\Users\laabe\Documents\Code\windows_explorer\test\widget_test.dart                                         | Dart       |         14 |         10 |          7 |         31 |
| c:\Users\laabe\Documents\Code\windows_explorer\web\index.html                                                | HTML       |         38 |         16 |          6 |         60 |
| c:\Users\laabe\Documents\Code\windows_explorer\web\manifest.json                                             | JSON       |         35 |          0 |          1 |         36 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\flutter\generated_plugin_registrant.cc                | C++        |         12 |          4 |          5 |         21 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\flutter\generated_plugin_registrant.h                 | C++        |          5 |          5 |          6 |         16 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\flutter_window.cpp                             | C++        |         48 |          4 |         15 |         67 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\flutter_window.h                               | C++        |         20 |          5 |          9 |         34 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\main.cpp                                       | C++        |         30 |          4 |         10 |         44 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\resource.h                                     | C++        |          9 |          6 |          2 |         17 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\utils.cpp                                      | C++        |         53 |          2 |         10 |         65 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\utils.h                                        | C++        |          8 |          6 |          6 |         20 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\win32_window.cpp                               | C++        |        210 |         24 |         55 |        289 |
| c:\Users\laabe\Documents\Code\windows_explorer\windows\runner\win32_window.h                                 | C++        |         48 |         31 |         24 |        103 |
| Total                                                                                                        |            |      2,184 |        287 |        344 |      2,815 |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
